Name,Sparse Pattern,Sparse Block Ratio,Sparse Ratio,MACs,CPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
Mul_1483,1x1,0.00%,0.00%,204800,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
Mul_1570,1x1,0.00%,0.00%,204800,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
Cast_1825,1x1,0.00%,0.00%,0,0.00%,51200,0.01%,0,0.00%,1x1x80x80x2,1x1x80x80x2
Div_1485,1x1,0.00%,0.00%,409600,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
Div_1572,1x1,0.00%,0.00%,409600,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
Cast_1826,1x1,0.00%,0.00%,0,0.00%,51200,0.01%,0,0.00%,1x1x80x80x2,1x1x80x80x2
QuantizeLinear_1488,1x1,0.00%,0.00%,409600,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
Add_1837,1x1,0.00%,0.00%,38400,0.00%,153600,0.02%,0,0.00%,1x3x80x80x2,1x3x80x80x2
Conv_1498_quant,4x1,66.83%,66.83%,26419200,0.30%,885248,0.10%,16512,0.23%,1x128x40x40,1x128x40x40
Mul_1839,1x1,0.00%,0.00%,38400,0.00%,153600,0.02%,0,0.00%,1x3x80x80x2,1x3x80x80x2
DequantizeLinear_1506,1x1,0.00%,0.00%,409600,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
Concat_1854,1x1,0.00%,0.00%,0,0.00%,6528000,0.74%,0,0.00%,1x3x80x80x2,1x3x80x80x85
Add_1508,1x1,0.00%,0.00%,204800,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
Reshape_1857,1x1,0.00%,0.00%,0,0.00%,6528000,0.74%,0,0.00%,1x3x80x80x85,1x19200x85
Clip_1511,1x1,0.00%,0.00%,409600,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
Mul_1512,1x1,0.00%,0.00%,204800,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
Div_1514,1x1,0.00%,0.00%,409600,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
QuantizeLinear_1517,1x1,0.00%,0.00%,409600,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
